"State","District","Year","Area","Production","Yield"
"1. Karnataka","16. Gulbarga","1997 - 1998",238994,60394,0.25
"1. Karnataka","16. Gulbarga","1998 - 1999",273391,124147,0.45
"1. Karnataka","16. Gulbarga","1999 - 2000",311666,181795,0.58
"1. Karnataka","16. Gulbarga","2000 - 2001",366678,164418,0.45
"1. Karnataka","16. Gulbarga","2001 - 2002",318250,81329,0.26
"1. Karnataka","16. Gulbarga","2002 - 2003",335663,161667,0.48
"1. Karnataka","16. Gulbarga","2003 - 2004",349894,136616,0.39
"1. Karnataka","16. Gulbarga","2004 - 2005",345723,177356,0.51
"1. Karnataka","16. Gulbarga","2005 - 2006",382765,273447,0.71
"1. Karnataka","16. Gulbarga","2006 - 2007",382521,163528,0.43
"1. Karnataka","16. Gulbarga","2007 - 2008",429589,302817,0.7
"1. Karnataka","16. Gulbarga","2008 - 2009",379769,187606,0.49
"1. Karnataka","16. Gulbarga","2009 - 2010",336853,153285,0.46
"1. Karnataka","16. Gulbarga","2010 - 2011",377775,206718,0.55
"1. Karnataka","16. Gulbarga","2011 - 2012",370523,175998,0.47
"1. Karnataka","16. Gulbarga","2012 - 2013",340119,250736,0.74
"1. Karnataka","16. Gulbarga","2013 - 2014",369537,394592,1.07
"1. Karnataka","16. Gulbarga","2014 - 2015",315343,210003,0.67
"1. Karnataka","16. Gulbarga","2015 - 2016",261076,94993,0.36
"1. Karnataka","16. Gulbarga","2016 - 2017",388914,541641,1.39
"1. Karnataka","16. Gulbarga","2017 - 2018",328808,377652,1.15
"1. Karnataka","16. Gulbarga","2018 - 2019",613760,569078,0.93
"1. Karnataka","16. Gulbarga","2019 - 2020",606717,523354,0.86
"1. Karnataka","16. Gulbarga","2020 - 2021",581825,622553,1.07
"1. Karnataka","16. Gulbarga","2021 - 2022",621122,568948,0.92
"1. Karnataka","16. Gulbarga","2022 - 2023",476513,430768,0.9
