"LON","LAT","YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
76.83,17.33,1997,0.67,0,0.51,1.09,0.64,2.74,3.62,2.99,2.7,2.41,2.28,0.84,1.72
76.83,17.33,1998,0,0.07,0,0.16,0.7,3.58,4.97,7.15,10.82,7.92,0.31,0,2.99
76.83,17.33,1999,0,0.38,0,0.11,1.93,2.91,2.98,2.23,3.24,2.13,0.01,0,1.33
76.83,17.33,2000,0.01,1.07,0.04,0.12,2.05,5.65,2.66,10.4,2.29,1.45,0.13,0.11,2.17
76.83,17.33,2001,0.12,0,0.49,0.82,0.42,3.75,2.26,4.13,8.35,4.41,0.05,0,2.07
76.83,17.33,2002,0.25,0.02,0.18,0.16,2.67,4.29,2.93,5.71,2.89,3.73,0.04,0,1.92
76.83,17.33,2003,0,0.19,0.67,1.14,0.07,1.76,3.72,5.36,2.6,2.63,0.02,0.05,1.53
76.83,17.33,2004,0.46,0.14,0.32,1.23,3.08,2.93,7.31,1.55,6.35,1.52,0.05,0,2.08
76.83,17.33,2005,0.54,0.01,0.36,1.16,1.57,3.13,9.4,6.55,5.43,4.78,0.03,0.01,2.77
76.83,17.33,2006,0,0,0.83,0.97,3.28,4.75,3.33,3.49,7.57,0.7,2.92,0,2.32
76.83,17.33,2007,0,0,0,0.34,0.48,6.38,2.71,6.55,8.62,0.55,0.14,0,2.15
76.83,17.33,2008,0,0.6,3.29,0.47,0.46,1.07,4.56,9.03,7.35,1.85,1.44,0.08,2.53
76.83,17.33,2009,0,0,0.22,0.46,1.81,3.7,1.59,6.39,5.97,2.58,1.12,0.09,2
76.83,17.33,2010,0.4,0.11,0.01,0.33,0.91,5.15,8,9.14,4.95,2.08,1.63,0.1,2.75
76.83,17.33,2011,0,0.19,0.03,0.53,0.85,1.99,6.07,5,1.45,2.16,0.02,0,1.54
76.83,17.33,2012,0,0,0,1.03,0.42,3.41,4.67,4.44,3.7,1.95,0.69,0,1.7
76.83,17.33,2013,0.05,0.49,0,1.23,1.52,4.11,7.79,2.18,6.97,2.63,0.25,0.01,2.27
76.83,17.33,2014,0,0.43,1.47,1.25,2.06,1.9,3.72,8.73,2.61,2.12,0.69,0.44,2.14
76.83,17.33,2015,0.14,0.13,0.96,2.32,0.51,1.7,1.67,4.08,5.73,0.86,0.08,0.01,1.52
76.83,17.33,2016,0.02,0.01,0.19,0.5,0.94,6.1,7.16,1.55,10.81,1.29,0,0.02,2.37
76.83,17.33,2017,0,0,0.6,0.13,0.52,6.03,3.39,4.49,6.24,3.97,0.01,0.02,2.12
76.83,17.33,2018,0,0,0,0.89,1.18,2.87,2.26,4.16,2.34,1.21,0.09,0.56,1.3
76.83,17.33,2019,0.19,0.01,0.17,0.35,0.3,3,2.58,4.6,6.5,3.85,0.13,0.15,1.83
76.83,17.33,2020,0.17,0.03,0.6,0.32,1.65,6.62,9.09,4.99,8.92,6.55,0.07,0,3.26
76.83,17.33,2021,0.05,0.05,0.01,1.47,2.45,4.35,8.54,5.78,9.53,2.82,1.32,0.02,3.04
76.83,17.33,2022,0.09,0,0.04,0.49,1.87,2.22,10.91,5.5,5.39,3.17,0,0.08,2.51
