"District","Lat","Lon"
"1. Bagalkot",16.1821,75.6963
"2. Bangalore rural",13.2505,77.5807
"3. Belgaum",15.8497,74.4977
"4. Bellary",15.1394,76.9214
"5. Bengaluru urban",12.9716,77.5946
"6. Bidar",17.9102,77.5199
"7. Bijapur",16.8302,75.71
"8. Chamarajanagar",11.9261,76.9447
"9. Chikballapur",13.4357,77.7315
"10. Chikmagalur",13.3153,75.7754
"11. Chitradurga",14.2251,76.398
"12. Dakshin kannad",12.9141,74.856
"13. Davangere",14.4644,75.9218
"14. Dharwad",15.4589,75.0078
"15. Gadag",15.4317,75.6358
"16. Gulbarga",17.3297,76.8343
"17. Hassan",13.0068,76.1004
"18. Haveri",14.7937,75.4022
"19. Kodagu",12.4244,75.7382
"20. Kolar",13.1367,78.1292
"21. Koppal",15.3525,76.155
"22. Mandya",12.5225,76.8956
"23. Mysore",12.2958,76.6394
"24. Raichur",16.2076,77.3463
"25. Ramanagara",12.7236,77.2804
"26. Shimoga",13.9299,75.5681
"27. Tumkur",13.3379,77.1173
"28. Udupi",13.3409,74.7421
"29. Uttar kannad",14.8143,74.1309
"30. Vijayanagar",15.335,76.46
"31. Yadgir",16.7618,77.1352
